asset_key,asset_type,family,intended_in_game_use,source_mode,target_size,required_variants,visual_direction,avoid,suggested_filename,suggested_sprite_name,final_game_folder,reference_folder,animation_brief,status
focus_family_ancient_host,focus icon family,Focus icons,coordinated family for final focuses covering ancient host,"generated icon art, with sourced motifs when historically specific",94x86,"one distinct icon per final focus, family motif can recur without repeated composition","HOI4 focus art with route-specific central subject, aged texture, strong silhouette","generic continent silhouette on every icon, idea or decision icon resize, readable text",goal_012_africa_ancient_host_<focus_slug>.dds,GFX_goal_012_africa_ancient_host_<focus_slug>,gfx/interface/goals/012_africa/,assets/vanilla_reference/icons/national_focus,static,deferred_runtime_gated
focus_family_continent_sponsorship,focus icon family,Focus icons,coordinated family for final focuses covering continent sponsorship,"generated icon art, with sourced motifs when historically specific",94x86,"one distinct icon per final focus, family motif can recur without repeated composition","HOI4 focus art with route-specific central subject, aged texture, strong silhouette","generic continent silhouette on every icon, idea or decision icon resize, readable text",goal_012_africa_continent_sponsorship_<focus_slug>.dds,GFX_goal_012_africa_continent_sponsorship_<focus_slug>,gfx/interface/goals/012_africa/,assets/vanilla_reference/icons/national_focus,static,deferred_runtime_gated
focus_family_continent_union,focus icon family,Focus icons,coordinated family for final focuses covering continent union,"generated icon art, with sourced motifs when historically specific",94x86,"one distinct icon per final focus, family motif can recur without repeated composition","HOI4 focus art with route-specific central subject, aged texture, strong silhouette","generic continent silhouette on every icon, idea or decision icon resize, readable text",goal_012_africa_continent_union_<focus_slug>.dds,GFX_goal_012_africa_continent_union_<focus_slug>,gfx/interface/goals/012_africa/,assets/vanilla_reference/icons/national_focus,static,deferred_runtime_gated
focus_family_terminal_continent_war,focus icon family,Focus icons,coordinated family for final focuses covering terminal continent war,"generated icon art, with sourced motifs when historically specific",94x86,"one distinct icon per final focus, family motif can recur without repeated composition","HOI4 focus art with route-specific central subject, aged texture, strong silhouette","generic continent silhouette on every icon, idea or decision icon resize, readable text",goal_012_africa_terminal_continent_war_<focus_slug>.dds,GFX_goal_012_africa_terminal_continent_war_<focus_slug>,gfx/interface/goals/012_africa/,assets/vanilla_reference/icons/national_focus,static,deferred_runtime_gated
focus_family_the_world,focus icon family,Focus icons,coordinated family for final focuses covering the world,"generated icon art, with sourced motifs when historically specific",94x86,"one distinct icon per final focus, family motif can recur without repeated composition","HOI4 focus art with route-specific central subject, aged texture, strong silhouette","generic continent silhouette on every icon, idea or decision icon resize, readable text",goal_012_africa_the_world_<focus_slug>.dds,GFX_goal_012_africa_the_world_<focus_slug>,gfx/interface/goals/012_africa/,assets/vanilla_reference/icons/national_focus,static,deferred_runtime_gated
identity_charter_federalism,flag and emblem package,Host identity,charter federalism visible country and League identity,"generated alternate-history art, with sourced regional motifs where relevant","82x52, 41x26, 10x7 flags, emblem at verified GUI size","base route flag, ideology-compatible variants when public identity differs, faction emblem variant",simple readable flag and emblem tied to route institution and selected host region,"office or bureau as country identity, text, copied recolour variants",012_africa_charter_federalism_flag_family.tga,GFX_012_africa_charter_federalism_emblem,gfx/flags/ and gfx/interface/012_africa/emblems/,assets/vanilla_reference/flags/normal and closest faction emblem references,static,installed_dormant
identity_continental_republic,flag and emblem package,Host identity,continental republic visible country and League identity,"generated alternate-history art, with sourced regional motifs where relevant","82x52, 41x26, 10x7 flags, emblem at verified GUI size","base route flag, ideology-compatible variants when public identity differs, faction emblem variant",simple readable flag and emblem tied to route institution and selected host region,"office or bureau as country identity, text, copied recolour variants",012_africa_continental_republic_flag_family.tga,GFX_012_africa_continental_republic_emblem,gfx/flags/ and gfx/interface/012_africa/emblems/,assets/vanilla_reference/flags/normal and closest faction emblem references,static,installed_dormant
identity_council_of_crowns,flag and emblem package,Host identity,council of crowns visible country and League identity,"generated alternate-history art, with sourced regional motifs where relevant","82x52, 41x26, 10x7 flags, emblem at verified GUI size","base route flag, ideology-compatible variants when public identity differs, faction emblem variant",simple readable flag and emblem tied to route institution and selected host region,"office or bureau as country identity, text, copied recolour variants",012_africa_council_of_crowns_flag_family.tga,GFX_012_africa_council_of_crowns_emblem,gfx/flags/ and gfx/interface/012_africa/emblems/,assets/vanilla_reference/flags/normal and closest faction emblem references,static,installed_dormant
identity_peoples_union,flag and emblem package,Host identity,peoples union visible country and League identity,"generated alternate-history art, with sourced regional motifs where relevant","82x52, 41x26, 10x7 flags, emblem at verified GUI size","base route flag, ideology-compatible variants when public identity differs, faction emblem variant",simple readable flag and emblem tied to route institution and selected host region,"office or bureau as country identity, text, copied recolour variants",012_africa_peoples_union_flag_family.tga,GFX_012_africa_peoples_union_emblem,gfx/flags/ and gfx/interface/012_africa/emblems/,assets/vanilla_reference/flags/normal and closest faction emblem references,static,installed_dormant
identity_military_continentalism,flag and emblem package,Host identity,military continentalism visible country and League identity,"generated alternate-history art, with sourced regional motifs where relevant","82x52, 41x26, 10x7 flags, emblem at verified GUI size","base route flag, ideology-compatible variants when public identity differs, faction emblem variant",simple readable flag and emblem tied to route institution and selected host region,"office or bureau as country identity, text, copied recolour variants",012_africa_military_continentalism_flag_family.tga,GFX_012_africa_military_continentalism_emblem,gfx/flags/ and gfx/interface/012_africa/emblems/,assets/vanilla_reference/flags/normal and closest faction emblem references,static,installed_dormant
identity_continental_confederation,flag and emblem package,Host identity,continental confederation visible country and League identity,"generated alternate-history art, with sourced regional motifs where relevant","82x52, 41x26, 10x7 flags, emblem at verified GUI size","base route flag, ideology-compatible variants when public identity differs, faction emblem variant",simple readable flag and emblem tied to route institution and selected host region,"office or bureau as country identity, text, copied recolour variants",012_africa_continental_confederation_flag_family.tga,GFX_012_africa_continental_confederation_emblem,gfx/flags/ and gfx/interface/012_africa/emblems/,assets/vanilla_reference/flags/normal and closest faction emblem references,static,installed_dormant
identity_high_chaos_covenant,flag and emblem package,Host identity,high chaos covenant visible country and League identity,"generated alternate-history art, with sourced regional motifs where relevant","82x52, 41x26, 10x7 flags, emblem at verified GUI size","base route flag, ideology-compatible variants when public identity differs, faction emblem variant",simple readable flag and emblem tied to route institution and selected host region,"office or bureau as country identity, text, copied recolour variants",012_africa_high_chaos_covenant_flag_family.tga,GFX_012_africa_high_chaos_covenant_emblem,gfx/flags/ and gfx/interface/012_africa/emblems/,assets/vanilla_reference/flags/normal and closest faction emblem references,static,installed_dormant
continental_leader_frame,portrait frame,Portrait frames,continental leader frame,generated UI art,156x210-compatible overlay or verified portrait frame size,normal and selected variants where supported,frame communicates status without hiding portrait identity,"heavy ornament that obscures face, text labels",continental_leader_frame.dds,GFX_012_africa_continental_leader_frame,gfx/interface/012_africa/portraits/,closest leader portrait and GUI references,static,deferred_controlled_pool
restored_polity_frame,portrait frame,Portrait frames,restored polity frame,generated UI art,156x210-compatible overlay or verified portrait frame size,normal and selected variants where supported,frame communicates status without hiding portrait identity,"heavy ornament that obscures face, text labels",restored_polity_frame.dds,GFX_012_africa_restored_polity_frame,gfx/interface/012_africa/portraits/,closest leader portrait and GUI references,static,deferred_controlled_pool
rival_bloc_leader_frame,portrait frame,Portrait frames,rival bloc leader frame,generated UI art,156x210-compatible overlay or verified portrait frame size,normal and selected variants where supported,frame communicates status without hiding portrait identity,"heavy ornament that obscures face, text labels",rival_bloc_leader_frame.dds,GFX_012_africa_rival_bloc_leader_frame,gfx/interface/012_africa/portraits/,closest leader portrait and GUI references,static,deferred_controlled_pool
high_chaos_leader_frame,portrait frame,Portrait frames,high chaos leader frame,generated UI art,156x210-compatible overlay or verified portrait frame size,normal and selected variants where supported,frame communicates status without hiding portrait identity,"heavy ornament that obscures face, text labels",high_chaos_leader_frame.dds,GFX_012_africa_high_chaos_leader_frame,gfx/interface/012_africa/portraits/,closest leader portrait and GUI references,static,deferred_controlled_pool
terminal_world_frame,portrait frame,Portrait frames,terminal world frame,generated UI art,156x210-compatible overlay or verified portrait frame size,normal and selected variants where supported,frame communicates status without hiding portrait identity,"heavy ornament that obscures face, text labels",terminal_world_frame.dds,GFX_012_africa_terminal_world_frame,gfx/interface/012_africa/portraits/,closest leader portrait and GUI references,static,deferred_controlled_pool
country_package_garamantes,Tier A country visual package,Restored polities,full visual identity for Garamantes,"mixed package, source historical flags, symbols, architecture, and real leaders, generate fictional route variants and fictional leaders","flags 82x52, 41x26, 10x7, portraits 156x210, emblems and route icons as required","base flag, ideology or route flags when justified, leader or council portraits, advisor and commander portraits, emblem, cosmetic identity variants","complete Tier A package for Garamantes, grounded in oasis state and trans-Saharan routes, gameplay hooks include oases, desert transport, irrigation, raiding","invented historical claims presented as fact, generic pan-African recolour, opposite-gender name and portrait pairing, administrative map name",012_africa_garamantes_asset_family,GFX_012_africa_garamantes_<asset>,"gfx/flags/, gfx/leaders/012_africa/, and event-scoped interface folders","assets/vanilla_reference/flags/normal, closest portrait references, named historical sources","static by default, rare animated portrait only if part 6 approves",deferred_controlled_pool
country_package_kanem_bornu,Tier A country visual package,Restored polities,full visual identity for Kanem-Bornu,"mixed package, source historical flags, symbols, architecture, and real leaders, generate fictional route variants and fictional leaders","flags 82x52, 41x26, 10x7, portraits 156x210, emblems and route icons as required","base flag, ideology or route flags when justified, leader or council portraits, advisor and commander portraits, emblem, cosmetic identity variants","complete Tier A package for Kanem-Bornu, grounded in long-lived Lake Chad empire, gameplay hooks include cavalry, lake trade, Islamic scholarship","invented historical claims presented as fact, generic pan-African recolour, opposite-gender name and portrait pairing, administrative map name",012_africa_kanem_bornu_asset_family,GFX_012_africa_kanem_bornu_<asset>,"gfx/flags/, gfx/leaders/012_africa/, and event-scoped interface folders","assets/vanilla_reference/flags/normal, closest portrait references, named historical sources","static by default, rare animated portrait only if part 6 approves",installed_dormant
country_package_manden,Tier A country visual package,Restored polities,full visual identity for Manden,"mixed package, source historical flags, symbols, architecture, and real leaders, generate fictional route variants and fictional leaders","flags 82x52, 41x26, 10x7, portraits 156x210, emblems and route icons as required","base flag, ideology or route flags when justified, leader or council portraits, advisor and commander portraits, emblem, cosmetic identity variants","complete Tier A package for Manden, grounded in Mali and Manding political legacy, gameplay hooks include federation, gold, river routes, cavalry","invented historical claims presented as fact, generic pan-African recolour, opposite-gender name and portrait pairing, administrative map name",012_africa_manden_asset_family,GFX_012_africa_manden_<asset>,"gfx/flags/, gfx/leaders/012_africa/, and event-scoped interface folders","assets/vanilla_reference/flags/normal, closest portrait references, named historical sources","static by default, rare animated portrait only if part 6 approves",installed_dormant
country_package_songhai,Tier A country visual package,Restored polities,full visual identity for Songhai,"mixed package, source historical flags, symbols, architecture, and real leaders, generate fictional route variants and fictional leaders","flags 82x52, 41x26, 10x7, portraits 156x210, emblems and route icons as required","base flag, ideology or route flags when justified, leader or council portraits, advisor and commander portraits, emblem, cosmetic identity variants","complete Tier A package for Songhai, grounded in Niger bend imperial identity, gameplay hooks include river navy, cavalry, scholarship, trade","invented historical claims presented as fact, generic pan-African recolour, opposite-gender name and portrait pairing, administrative map name",012_africa_songhai_asset_family,GFX_012_africa_songhai_<asset>,"gfx/flags/, gfx/leaders/012_africa/, and event-scoped interface folders","assets/vanilla_reference/flags/normal, closest portrait references, named historical sources","static by default, rare animated portrait only if part 6 approves",deferred_controlled_pool
country_package_mossi,Tier A country visual package,Restored polities,full visual identity for Mossi,"mixed package, source historical flags, symbols, architecture, and real leaders, generate fictional route variants and fictional leaders","flags 82x52, 41x26, 10x7, portraits 156x210, emblems and route icons as required","base flag, ideology or route flags when justified, leader or council portraits, advisor and commander portraits, emblem, cosmetic identity variants","complete Tier A package for Mossi, grounded in Mossi kingdoms and cavalry states, gameplay hooks include cavalry, royal federation, Sahel defence","invented historical claims presented as fact, generic pan-African recolour, opposite-gender name and portrait pairing, administrative map name",012_africa_mossi_asset_family,GFX_012_africa_mossi_<asset>,"gfx/flags/, gfx/leaders/012_africa/, and event-scoped interface folders","assets/vanilla_reference/flags/normal, closest portrait references, named historical sources","static by default, rare animated portrait only if part 6 approves",deferred_controlled_pool
country_package_asante,Tier A country visual package,Restored polities,full visual identity for Asante,"mixed package, source historical flags, symbols, architecture, and real leaders, generate fictional route variants and fictional leaders","flags 82x52, 41x26, 10x7, portraits 156x210, emblems and route icons as required","base flag, ideology or route flags when justified, leader or council portraits, advisor and commander portraits, emblem, cosmetic identity variants","complete Tier A package for Asante, grounded in Asante state and confederal tradition, gameplay hooks include gold, royal council, military, proverbs","invented historical claims presented as fact, generic pan-African recolour, opposite-gender name and portrait pairing, administrative map name",012_africa_asante_asset_family,GFX_012_africa_asante_<asset>,"gfx/flags/, gfx/leaders/012_africa/, and event-scoped interface folders","assets/vanilla_reference/flags/normal, closest portrait references, named historical sources","static by default, rare animated portrait only if part 6 approves",installed_dormant
country_package_futa_toro,Tier A country visual package,Restored polities,full visual identity for Futa Toro,"mixed package, source historical flags, symbols, architecture, and real leaders, generate fictional route variants and fictional leaders","flags 82x52, 41x26, 10x7, portraits 156x210, emblems and route icons as required","base flag, ideology or route flags when justified, leader or council portraits, advisor and commander portraits, emblem, cosmetic identity variants","complete Tier A package for Futa Toro, grounded in Senegal River imamate, gameplay hooks include religious reform, river defence, scholarship","invented historical claims presented as fact, generic pan-African recolour, opposite-gender name and portrait pairing, administrative map name",012_africa_futa_toro_asset_family,GFX_012_africa_futa_toro_<asset>,"gfx/flags/, gfx/leaders/012_africa/, and event-scoped interface folders","assets/vanilla_reference/flags/normal, closest portrait references, named historical sources","static by default, rare animated portrait only if part 6 approves",deferred_controlled_pool
country_package_futa_jallon,Tier A country visual package,Restored polities,full visual identity for Futa Jallon,"mixed package, source historical flags, symbols, architecture, and real leaders, generate fictional route variants and fictional leaders","flags 82x52, 41x26, 10x7, portraits 156x210, emblems and route icons as required","base flag, ideology or route flags when justified, leader or council portraits, advisor and commander portraits, emblem, cosmetic identity variants","complete Tier A package for Futa Jallon, grounded in Fouta Djallon imamate, gameplay hooks include highland defence, scholarship, confederation","invented historical claims presented as fact, generic pan-African recolour, opposite-gender name and portrait pairing, administrative map name",012_africa_futa_jallon_asset_family,GFX_012_africa_futa_jallon_<asset>,"gfx/flags/, gfx/leaders/012_africa/, and event-scoped interface folders","assets/vanilla_reference/flags/normal, closest portrait references, named historical sources","static by default, rare animated portrait only if part 6 approves",deferred_controlled_pool
country_package_oyo,Tier A country visual package,Restored polities,full visual identity for Oyo,"mixed package, source historical flags, symbols, architecture, and real leaders, generate fictional route variants and fictional leaders","flags 82x52, 41x26, 10x7, portraits 156x210, emblems and route icons as required","base flag, ideology or route flags when justified, leader or council portraits, advisor and commander portraits, emblem, cosmetic identity variants","complete Tier A package for Oyo, grounded in Oyo imperial and cavalry identity, gameplay hooks include cavalry, tributary politics, trade","invented historical claims presented as fact, generic pan-African recolour, opposite-gender name and portrait pairing, administrative map name",012_africa_oyo_asset_family,GFX_012_africa_oyo_<asset>,"gfx/flags/, gfx/leaders/012_africa/, and event-scoped interface folders","assets/vanilla_reference/flags/normal, closest portrait references, named historical sources","static by default, rare animated portrait only if part 6 approves",installed_dormant
country_package_ife,Tier A country visual package,Restored polities,full visual identity for Ife,"mixed package, source historical flags, symbols, architecture, and real leaders, generate fictional route variants and fictional leaders","flags 82x52, 41x26, 10x7, portraits 156x210, emblems and route icons as required","base flag, ideology or route flags when justified, leader or council portraits, advisor and commander portraits, emblem, cosmetic identity variants","complete Tier A package for Ife, grounded in Yoruba sacred and dynastic centre, gameplay hooks include sacred legitimacy, art, arbitration","invented historical claims presented as fact, generic pan-African recolour, opposite-gender name and portrait pairing, administrative map name",012_africa_ife_asset_family,GFX_012_africa_ife_<asset>,"gfx/flags/, gfx/leaders/012_africa/, and event-scoped interface folders","assets/vanilla_reference/flags/normal, closest portrait references, named historical sources","static by default, rare animated portrait only if part 6 approves",deferred_controlled_pool
country_package_edoland,Tier A country visual package,Restored polities,full visual identity for Edo,"mixed package, source historical flags, symbols, architecture, and real leaders, generate fictional route variants and fictional leaders","flags 82x52, 41x26, 10x7, portraits 156x210, emblems and route icons as required","base flag, ideology or route flags when justified, leader or council portraits, advisor and commander portraits, emblem, cosmetic identity variants","complete Tier A package for Edo, grounded in Benin Kingdom and Edo identity, gameplay hooks include court, bronze guilds, walls, diplomacy","invented historical claims presented as fact, generic pan-African recolour, opposite-gender name and portrait pairing, administrative map name",012_africa_edoland_asset_family,GFX_012_africa_edoland_<asset>,"gfx/flags/, gfx/leaders/012_africa/, and event-scoped interface folders","assets/vanilla_reference/flags/normal, closest portrait references, named historical sources","static by default, rare animated portrait only if part 6 approves",deferred_controlled_pool
country_package_dahomey,Tier A country visual package,Restored polities,full visual identity for Dahomey,"mixed package, source historical flags, symbols, architecture, and real leaders, generate fictional route variants and fictional leaders","flags 82x52, 41x26, 10x7, portraits 156x210, emblems and route icons as required","base flag, ideology or route flags when justified, leader or council portraits, advisor and commander portraits, emblem, cosmetic identity variants","complete Tier A package for Dahomey, grounded in Dahomey and Abomey court identity, gameplay hooks include court, army, memory politics, ports","invented historical claims presented as fact, generic pan-African recolour, opposite-gender name and portrait pairing, administrative map name",012_africa_dahomey_asset_family,GFX_012_africa_dahomey_<asset>,"gfx/flags/, gfx/leaders/012_africa/, and event-scoped interface folders","assets/vanilla_reference/flags/normal, closest portrait references, named historical sources","static by default, rare animated portrait only if part 6 approves",deferred_controlled_pool
country_package_sokoto,Tier A country visual package,Restored polities,full visual identity for Sokoto,"mixed package, source historical flags, symbols, architecture, and real leaders, generate fictional route variants and fictional leaders","flags 82x52, 41x26, 10x7, portraits 156x210, emblems and route icons as required","base flag, ideology or route flags when justified, leader or council portraits, advisor and commander portraits, emblem, cosmetic identity variants","complete Tier A package for Sokoto, grounded in Sokoto Caliphate political legacy, gameplay hooks include emirates, scholarship, cavalry, law","invented historical claims presented as fact, generic pan-African recolour, opposite-gender name and portrait pairing, administrative map name",012_africa_sokoto_asset_family,GFX_012_africa_sokoto_<asset>,"gfx/flags/, gfx/leaders/012_africa/, and event-scoped interface folders","assets/vanilla_reference/flags/normal, closest portrait references, named historical sources","static by default, rare animated portrait only if part 6 approves",installed_dormant
country_package_bamum,Tier A country visual package,Restored polities,full visual identity for Bamum,"mixed package, source historical flags, symbols, architecture, and real leaders, generate fictional route variants and fictional leaders","flags 82x52, 41x26, 10x7, portraits 156x210, emblems and route icons as required","base flag, ideology or route flags when justified, leader or council portraits, advisor and commander portraits, emblem, cosmetic identity variants","complete Tier A package for Bamum, grounded in Bamum monarchy and cultural state, gameplay hooks include court, script, crafts, highland defence","invented historical claims presented as fact, generic pan-African recolour, opposite-gender name and portrait pairing, administrative map name",012_africa_bamum_asset_family,GFX_012_africa_bamum_<asset>,"gfx/flags/, gfx/leaders/012_africa/, and event-scoped interface folders","assets/vanilla_reference/flags/normal, closest portrait references, named historical sources","static by default, rare animated portrait only if part 6 approves",deferred_controlled_pool
country_package_kongo,Tier A country visual package,Restored polities,full visual identity for Kongo,"mixed package, source historical flags, symbols, architecture, and real leaders, generate fictional route variants and fictional leaders","flags 82x52, 41x26, 10x7, portraits 156x210, emblems and route icons as required","base flag, ideology or route flags when justified, leader or council portraits, advisor and commander portraits, emblem, cosmetic identity variants","complete Tier A package for Kongo, grounded in Kongo centralised state and provinces, gameplay hooks include diplomacy, Christianity, trade, provincial federation","invented historical claims presented as fact, generic pan-African recolour, opposite-gender name and portrait pairing, administrative map name",012_africa_kongo_asset_family,GFX_012_africa_kongo_<asset>,"gfx/flags/, gfx/leaders/012_africa/, and event-scoped interface folders","assets/vanilla_reference/flags/normal, closest portrait references, named historical sources","static by default, rare animated portrait only if part 6 approves",installed_dormant
country_package_ndongo,Tier A country visual package,Restored polities,full visual identity for Ndongo,"mixed package, source historical flags, symbols, architecture, and real leaders, generate fictional route variants and fictional leaders","flags 82x52, 41x26, 10x7, portraits 156x210, emblems and route icons as required","base flag, ideology or route flags when justified, leader or council portraits, advisor and commander portraits, emblem, cosmetic identity variants","complete Tier A package for Ndongo, grounded in Mbundu kingdom, gameplay hooks include river warfare, diplomacy, anti-colonial resistance","invented historical claims presented as fact, generic pan-African recolour, opposite-gender name and portrait pairing, administrative map name",012_africa_ndongo_asset_family,GFX_012_africa_ndongo_<asset>,"gfx/flags/, gfx/leaders/012_africa/, and event-scoped interface folders","assets/vanilla_reference/flags/normal, closest portrait references, named historical sources","static by default, rare animated portrait only if part 6 approves",deferred_controlled_pool
country_package_matamba,Tier A country visual package,Restored polities,full visual identity for Matamba,"mixed package, source historical flags, symbols, architecture, and real leaders, generate fictional route variants and fictional leaders","flags 82x52, 41x26, 10x7, portraits 156x210, emblems and route icons as required","base flag, ideology or route flags when justified, leader or council portraits, advisor and commander portraits, emblem, cosmetic identity variants","complete Tier A package for Matamba, grounded in Mbundu kingdom and resistance centre, gameplay hooks include queenly court, mobile defence, diplomacy","invented historical claims presented as fact, generic pan-African recolour, opposite-gender name and portrait pairing, administrative map name",012_africa_matamba_asset_family,GFX_012_africa_matamba_<asset>,"gfx/flags/, gfx/leaders/012_africa/, and event-scoped interface folders","assets/vanilla_reference/flags/normal, closest portrait references, named historical sources","static by default, rare animated portrait only if part 6 approves",deferred_controlled_pool
country_package_luba,Tier A country visual package,Restored polities,full visual identity for Luba,"mixed package, source historical flags, symbols, architecture, and real leaders, generate fictional route variants and fictional leaders","flags 82x52, 41x26, 10x7, portraits 156x210, emblems and route icons as required","base flag, ideology or route flags when justified, leader or council portraits, advisor and commander portraits, emblem, cosmetic identity variants","complete Tier A package for Luba, grounded in Central African sacred kingship and councils, gameplay hooks include council integration, memory societies, iron","invented historical claims presented as fact, generic pan-African recolour, opposite-gender name and portrait pairing, administrative map name",012_africa_luba_asset_family,GFX_012_africa_luba_<asset>,"gfx/flags/, gfx/leaders/012_africa/, and event-scoped interface folders","assets/vanilla_reference/flags/normal, closest portrait references, named historical sources","static by default, rare animated portrait only if part 6 approves",installed_dormant
country_package_lunda,Tier A country visual package,Restored polities,full visual identity for Lunda,"mixed package, source historical flags, symbols, architecture, and real leaders, generate fictional route variants and fictional leaders","flags 82x52, 41x26, 10x7, portraits 156x210, emblems and route icons as required","base flag, ideology or route flags when justified, leader or council portraits, advisor and commander portraits, emblem, cosmetic identity variants","complete Tier A package for Lunda, grounded in Central African federation and client rulers, gameplay hooks include federal incorporation, tribute, trade","invented historical claims presented as fact, generic pan-African recolour, opposite-gender name and portrait pairing, administrative map name",012_africa_lunda_asset_family,GFX_012_africa_lunda_<asset>,"gfx/flags/, gfx/leaders/012_africa/, and event-scoped interface folders","assets/vanilla_reference/flags/normal, closest portrait references, named historical sources","static by default, rare animated portrait only if part 6 approves",installed_dormant
country_package_kazembe,Tier A country visual package,Restored polities,full visual identity for Kazembe,"mixed package, source historical flags, symbols, architecture, and real leaders, generate fictional route variants and fictional leaders","flags 82x52, 41x26, 10x7, portraits 156x210, emblems and route icons as required","base flag, ideology or route flags when justified, leader or council portraits, advisor and commander portraits, emblem, cosmetic identity variants","complete Tier A package for Kazembe, grounded in Lunda-linked state in Luapula region, gameplay hooks include river trade, copper, federal diplomacy","invented historical claims presented as fact, generic pan-African recolour, opposite-gender name and portrait pairing, administrative map name",012_africa_kazembe_asset_family,GFX_012_africa_kazembe_<asset>,"gfx/flags/, gfx/leaders/012_africa/, and event-scoped interface folders","assets/vanilla_reference/flags/normal, closest portrait references, named historical sources","static by default, rare animated portrait only if part 6 approves",deferred_controlled_pool
country_package_kuba,Tier A country visual package,Restored polities,full visual identity for Kuba,"mixed package, source historical flags, symbols, architecture, and real leaders, generate fictional route variants and fictional leaders","flags 82x52, 41x26, 10x7, portraits 156x210, emblems and route icons as required","base flag, ideology or route flags when justified, leader or council portraits, advisor and commander portraits, emblem, cosmetic identity variants","complete Tier A package for Kuba, grounded in Kuba royal state and court traditions, gameplay hooks include court art, royal symbols, internal federation","invented historical claims presented as fact, generic pan-African recolour, opposite-gender name and portrait pairing, administrative map name",012_africa_kuba_asset_family,GFX_012_africa_kuba_<asset>,"gfx/flags/, gfx/leaders/012_africa/, and event-scoped interface folders","assets/vanilla_reference/flags/normal, closest portrait references, named historical sources","static by default, rare animated portrait only if part 6 approves",deferred_controlled_pool
country_package_kush,Tier A country visual package,Restored polities,full visual identity for Kush,"mixed package, source historical flags, symbols, architecture, and real leaders, generate fictional route variants and fictional leaders","flags 82x52, 41x26, 10x7, portraits 156x210, emblems and route icons as required","base flag, ideology or route flags when justified, leader or council portraits, advisor and commander portraits, emblem, cosmetic identity variants","complete Tier A package for Kush, grounded in Nile kingdom centred on Napata and Meroe, gameplay hooks include river trade, royal sites, desert logistics","invented historical claims presented as fact, generic pan-African recolour, opposite-gender name and portrait pairing, administrative map name",012_africa_kush_asset_family,GFX_012_africa_kush_<asset>,"gfx/flags/, gfx/leaders/012_africa/, and event-scoped interface folders","assets/vanilla_reference/flags/normal, closest portrait references, named historical sources","static by default, rare animated portrait only if part 6 approves",deferred_controlled_pool
country_package_makuria,Tier A country visual package,Restored polities,full visual identity for Makuria,"mixed package, source historical flags, symbols, architecture, and real leaders, generate fictional route variants and fictional leaders","flags 82x52, 41x26, 10x7, portraits 156x210, emblems and route icons as required","base flag, ideology or route flags when justified, leader or council portraits, advisor and commander portraits, emblem, cosmetic identity variants","complete Tier A package for Makuria, grounded in medieval Nubian kingdom, gameplay hooks include Nile defence, Christian diplomacy, forts","invented historical claims presented as fact, generic pan-African recolour, opposite-gender name and portrait pairing, administrative map name",012_africa_makuria_asset_family,GFX_012_africa_makuria_<asset>,"gfx/flags/, gfx/leaders/012_africa/, and event-scoped interface folders","assets/vanilla_reference/flags/normal, closest portrait references, named historical sources","static by default, rare animated portrait only if part 6 approves",deferred_controlled_pool
country_package_alodia,Tier A country visual package,Restored polities,full visual identity for Alodia,"mixed package, source historical flags, symbols, architecture, and real leaders, generate fictional route variants and fictional leaders","flags 82x52, 41x26, 10x7, portraits 156x210, emblems and route icons as required","base flag, ideology or route flags when justified, leader or council portraits, advisor and commander portraits, emblem, cosmetic identity variants","complete Tier A package for Alodia, grounded in medieval southern Nubian kingdom, gameplay hooks include river agriculture, Christian court, trade","invented historical claims presented as fact, generic pan-African recolour, opposite-gender name and portrait pairing, administrative map name",012_africa_alodia_asset_family,GFX_012_africa_alodia_<asset>,"gfx/flags/, gfx/leaders/012_africa/, and event-scoped interface folders","assets/vanilla_reference/flags/normal, closest portrait references, named historical sources","static by default, rare animated portrait only if part 6 approves",deferred_controlled_pool
country_package_nubia,Tier A country visual package,Restored polities,full visual identity for Nubia,"mixed package, source historical flags, symbols, architecture, and real leaders, generate fictional route variants and fictional leaders","flags 82x52, 41x26, 10x7, portraits 156x210, emblems and route icons as required","base flag, ideology or route flags when justified, leader or council portraits, advisor and commander portraits, emblem, cosmetic identity variants","complete Tier A package for Nubia, grounded in federated Nile restoration identity, gameplay hooks include federation, river integration, royal and republican routes","invented historical claims presented as fact, generic pan-African recolour, opposite-gender name and portrait pairing, administrative map name",012_africa_nubia_asset_family,GFX_012_africa_nubia_<asset>,"gfx/flags/, gfx/leaders/012_africa/, and event-scoped interface folders","assets/vanilla_reference/flags/normal, closest portrait references, named historical sources","static by default, rare animated portrait only if part 6 approves",installed_dormant
country_package_aksum,Tier A country visual package,Restored polities,full visual identity for Aksum,"mixed package, source historical flags, symbols, architecture, and real leaders, generate fictional route variants and fictional leaders","flags 82x52, 41x26, 10x7, portraits 156x210, emblems and route icons as required","base flag, ideology or route flags when justified, leader or council portraits, advisor and commander portraits, emblem, cosmetic identity variants","complete Tier A package for Aksum, grounded in Red Sea and Ethiopian highland imperial identity, gameplay hooks include Red Sea trade, monuments, royal legitimacy","invented historical claims presented as fact, generic pan-African recolour, opposite-gender name and portrait pairing, administrative map name",012_africa_aksum_asset_family,GFX_012_africa_aksum_<asset>,"gfx/flags/, gfx/leaders/012_africa/, and event-scoped interface folders","assets/vanilla_reference/flags/normal, closest portrait references, named historical sources","static by default, rare animated portrait only if part 6 approves",installed_dormant
